text,label
"I am extremely angry about this delay!",0
"This is ridiculous and unacceptable service.",0
"I demand an explanation for this error immediately.",0
"Why has this not been fixed yet? I am furious.",0
"I am nice and calm but this is actually making me angry.",0
"This repeated failure is making me lose patience.",0
"I am very upset with how this issue was handled.",0
"This mistake should never have happened.",0
"I am frustrated beyond words right now.",0
"This delay has caused serious problems for us.",0
"I cannot believe how careless this was.",0
"This situation is unacceptable.",0
"I want this resolved immediately.",0
"I am tired of following up again and again.",0
"This is the worst service I have experienced.",0
"Your response is completely unsatisfactory.",0
"I am angry that no one informed us earlier.",0
"This is extremely disappointing.",0
"I expect a proper explanation now.",0
"This negligence is infuriating.",0
"This delay is absolutely unacceptable.",0
"I am furious about the lack of response.",0
"This problem should have been fixed long ago.",0
"I am extremely irritated by this behavior.",0
"Your negligence is causing serious frustration.",0
"I am fed up with these repeated excuses.",0
"This is a complete failure from your side.",0
"I cannot tolerate this inefficiency anymore.",0
"This issue has crossed all limits.",0
"I am angry about how casually this was handled.",0
"This delay is inexcusable.",0
"I am very disappointed with the service.",0
"This has wasted a lot of my time.",0
"I am annoyed by the constant delays.",0
"This response is totally unacceptable.",0
"I am upset that this was ignored.",0
"This mistake is very frustrating.",0
"I am angry that no action was taken.",0
"This situation is extremely irritating.",0
"I demand this to be resolved immediately.",0
"Your team has been careless.",0
"This kind of delay is not acceptable.",0
"I am losing my patience now.",0
"This has been handled very poorly.",0
"I am angry about the lack of accountability.",0
"The service quality has dropped drastically.",0
"This issue should never have occurred.",0
"I am upset with how slow the process is.",0
"This has caused unnecessary trouble.",0
"I am angry about the repeated failures.",0
"This problem keeps happening again and again.",0
"I am extremely unhappy with this outcome.",0
"This response is frustrating.",0
"I am annoyed that nobody informed me.",0
"This shows poor management.",0
"I am angry that deadlines were ignored.",0
"This delay is ridiculous.",0
"I am upset with the lack of transparency.",0
"This has affected our work badly.",0
"I am furious about the careless approach.",0

"I am really worried about the deadline tomorrow.",1
"Can you please check this urgency? I am anxious.",1
"I fear we made a huge mistake in the report.",1
"Please help me, I am panicking about the results.",1
"I am nervous that the client will reject this.",1
"I am stressed about the upcoming review.",1
"This issue is making me very uneasy.",1
"I am concerned about how this will impact the project.",1
"I am not confident this will be approved.",1
"I am feeling anxious about the final outcome.",1
"This delay is worrying me a lot.",1
"I am afraid we might miss the timeline.",1
"I am unsure if everything is correct.",1
"This situation is causing me stress.",1
"I am overthinking this problem.",1
"I am worried this might escalate.",1
"I feel uneasy about the next steps.",1
"This uncertainty is making me nervous.",1
"I am anxious about the response we will receive.",1
"I am concerned about possible consequences.",1
"I am worried about the upcoming deadline.",1
"This issue is making me very anxious.",1
"I am concerned about the final approval.",1
"I feel nervous about the outcome.",1
"This delay is stressing me out.",1
"I am afraid this might go wrong.",1
"I am unsure if everything is correct.",1
"I am anxious about the client feedback.",1
"This situation is worrying me a lot.",1
"I feel uneasy about this decision.",1
"I am concerned about possible risks.",1
"This uncertainty is making me nervous.",1
"I am stressed about meeting expectations.",1
"I fear this might create problems.",1
"I am worried about the impact of this delay.",1
"I am anxious about tomorrow’s presentation.",1
"I am not confident about the results.",1
"This issue is causing a lot of tension.",1
"I feel pressure because of this delay.",1
"I am worried things may escalate.",1
"I am concerned about missing the deadline.",1
"I feel anxious waiting for confirmation.",1
"This is making me overthink everything.",1
"I am stressed about the next steps.",1
"I am worried about client dissatisfaction.",1
"I feel uneasy not knowing the status.",1
"I am anxious about potential consequences.",1
"This situation is making me uncomfortable.",1
"I am worried about the quality of the output.",1
"I am concerned about delays affecting delivery.",1
"I feel anxious about follow-up actions.",1
"This uncertainty is stressful.",1
"I am nervous about the review process.",1
"I am worried about team performance.",1
"I feel anxious about last-minute changes.",1
"I am concerned about unresolved issues.",1
"This delay is making me anxious.",1
"I am unsure how this will be received.",1
"I am stressed about upcoming deadlines.",1
"I feel pressure due to time constraints.",1

"Here is the report you requested.",2
"Let's meet tomorrow at 10 AM.",2
"Please find the attached invoice.",2
"The meeting has been rescheduled to Friday.",2
"Just checking in on the status of the ticket.",2
"Please review the document when you have time.",2
"The files have been uploaded successfully.",2
"Kindly let me know if changes are needed.",2
"The task has been completed as discussed.",2
"This is a follow-up on our last conversation.",2
"Sharing the details discussed earlier.",2
"The update has been deployed to production.",2
"The system is currently operational.",2
"We will proceed as planned.",2
"The data has been verified.",2
"Please confirm receipt of this message.",2
"This email is for your information.",2
"The request has been logged.",2
"We are awaiting further instructions.",2
"The issue is under review.",2
"The report has been submitted.",2
"The meeting is scheduled for tomorrow.",2
"Please review the attached document.",2
